key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
11,"earth crystal",0,"earth crystals",0,1,1,0,0,"A crystalline manifestation of aetheric earth energy.","Earth Crystal",20012,25,1,11,0,59,58,0,20090,9999,False,False,False,False,229,0,False,False,False,0,2,0,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
12,"lightning crystal",0,"lightning crystals",0,0,1,0,0,"A crystalline manifestation of aetheric lightning energy.","Lightning Crystal",20011,25,1,11,0,59,58,0,20100,9999,False,False,False,False,229,0,False,False,False,0,2,0,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
13,"water crystal",0,"water crystals",0,0,1,0,0,"A crystalline manifestation of aetheric water energy.","Water Crystal",20008,25,1,11,0,59,58,0,20110,9999,False,False,False,False,229,0,False,False,False,0,2,0,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
14,"fire cluster",0,"fire clusters",0,0,1,0,0,"A large crystalline manifestation of aetheric fire energy.","Fire Cluster",20013,50,1,11,0,59,58,0,30120,9999,False,False,False,False,990,0,False,False,False,0,2,0,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
15,"ice cluster",0,"ice clusters",0,1,1,0,0,"A large crystalline manifestation of aetheric ice energy.","Ice Cluster",20015,50,1,11,0,59,58,0,30130,9999,False,False,False,False,990,0,False,False,False,0,2,0,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
16,"wind cluster",0,"wind clusters",0,0,1,0,0,"A large crystalline manifestation of aetheric wind energy.","Wind Cluster",20016,50,1,11,0,59,58,0,30140,9999,False,False,False,False,990,0,False,False,False,0,2,0,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
17,"earth cluster",0,"earth clusters",0,1,1,0,0,"A large crystalline manifestation of aetheric earth energy.","Earth Cluster",20018,50,1,11,0,59,58,0,30150,9999,False,False,False,False,990,0,False,False,False,0,2,0,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
18,"lightning cluster",0,"lightning clusters",0,0,1,0,0,"A large crystalline manifestation of aetheric lightning energy.","Lightning Cluster",20017,50,1,11,0,59,58,0,30160,9999,False,False,False,False,990,0,False,False,False,0,2,0,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
19,"water cluster",0,"water clusters",0,0,1,0,0,"A large crystalline manifestation of aetheric water energy.","Water Cluster",20014,50,1,11,0,59,58,0,30170,9999,False,False,False,False,990,0,False,False,False,0,2,0,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
20,"Storm Seal",0,"Storm Seals",0,0,1,0,0,"Grand Company currency printed and distributed by the Maelstrom.","Storm Seal",65004,1,1,16,0,63,0,0,54000,200000,False,False,False,False,1,0,False,False,False,0,2,0,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
21,"Serpent Seal",0,"Serpent Seals",0,0,1,0,0,"Grand Company currency printed and distributed by the Order of the Twin Adder.","Serpent Seal",65005,1,1,16,0,63,0,0,54000,200000,False,False,False,False,1,0,False,False,False,0,2,0,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
22,"Flame Seal",0,"Flame Seals",0,0,1,0,0,"Grand Company currency printed and distributed by the Immortal Flames.","Flame Seal",65006,1,1,16,0,63,0,0,54000,200000,False,False,False,False,1,0,False,False,False,0,2,0,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
23,"Allagan tomestone of philosophy",0,"Allagan tomestones of philosophy",0,1,1,0,0,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.","Allagan Tomestone of Philosophy",65012,70,1,16,0,63,0,0,54000,2000,False,False,False,False,1,0,False,False,False,0,2,0,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
24,"Allagan tomestone of mythology",0,"Allagan tomestones of mythology",0,1,1,0,0,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.","Allagan Tomestone of Mythology",65013,90,1,16,0,63,0,0,54000,2000,False,False,False,False,1,0,False,False,False,0,2,0,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
25,"Wolf Mark",0,"Wolf Marks",0,0,1,0,0,"Currency printed and distributed by the Alliance.","Wolf Mark",65014,55,1,16,0,63,0,0,54000,20000,False,False,False,False,1,0,False,False,False,0,2,0,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
26,"Allagan tomestone of soldiery",0,"Allagan tomestones of soldiery",0,1,1,0,0,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.","Allagan Tomestone of Soldiery",65022,110,1,16,0,63,0,0,54000,2000,False,False,False,False,1,0,False,False,False,0,2,0,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
27,"Allied Seal",0,"Allied Seals",0,1,1,0,0,"Yet another currency printed and distributed by the Eorzean Alliance. Rewarded for slaying marks specified in the Hunt.","Allied Seal",65024,1,1,16,0,63,0,0,54000,4000,False,False,False,False,1,0,False,False,False,0,2,0,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
28,"Allagan tomestone of poetics",0,"Allagan tomestones of poetics",0,1,1,0,0,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.","Allagan Tomestone of Poetics",65023,130,1,16,0,63,0,0,54000,2000,False,False,False,False,1,0,False,False,False,0,2,0,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
29,"MGP",0,"MGP",0,1,1,0,0,"Official currency of the Manderville Gold Saucer. Redeemable only on Manderville property.","MGP",65025,1,1,16,0,63,0,0,54000,9999999,False,False,False,False,1,0,False,False,False,0,2,0,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
30,"Allagan tomestone of law",0,"Allagan tomestones of law",0,1,1,0,0,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.","Allagan Tomestone of Law",65032,170,1,16,0,63,0,0,54000,2000,False,False,False,False,2,0,False,False,False,0,2,0,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
31,"Allagan tomestone of esoterics",0,"Allagan tomestones of esoterics",0,1,1,0,0,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.","Allagan Tomestone of Esoterics",65033,200,1,16,0,63,0,0,54000,2000,False,False,False,False,2,0,False,False,False,0,2,0,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
32,"Allagan tomestone of lore",0,"Allagan tomestones of lore",0,1,1,0,0,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.","Allagan Tomestone of Lore",65038,230,1,16,0,63,0,0,54000,2000,False,False,False,False,2,0,False,False,False,0,2,0,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
33,"Allagan tomestone of scripture",0,"Allagan tomestones of scripture",0,1,1,0,0,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.","Allagan Tomestone of Scripture",65041,260,1,16,0,63,0,0,54000,2000,False,False,False,False,2,0,False,False,False,0,2,0,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
34,"Allagan tomestone of verity",0,"Allagan tomestones of verity",0,1,1,0,0,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.","Allagan Tomestone of Verity",65045,310,1,16,0,63,0,0,54000,2000,False,False,False,False,2,0,False,False,False,0,2,0,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
35,"Allagan tomestone of creation",0,"Allagan tomestones of creation",0,1,1,0,0,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.","Allagan Tomestone of Creation",65046,330,1,16,0,63,0,0,54000,2000,False,False,False,False,2,0,False,False,False,0,2,0,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
36,"Allagan tomestone of mendacity",0,"Allagan tomestones of mendacity",0,1,1,0,0,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on untruths gathered by the lost Allagan Empire.","Allagan Tomestone of Mendacity",65062,360,1,16,0,63,0,0,54000,2000,False,False,False,False,2,0,False,False,False,0,2,0,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
37,"Allagan tomestone of genesis",0,"Allagan tomestones of genesis",0,1,1,0,0,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on creation gathered by the lost Allagan Empire.","Allagan Tomestone of Genesis",65065,390,1,16,0,63,0,0,54000,2000,False,False,False,False,2,0,False,False,False,0,2,0,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
38,"Allagan tomestone of goetia",0,"Allagan tomestones of goetia",0,1,1,0,0,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on demonology gathered by the lost Allagan Empire.","Allagan Tomestone of Goetia",65066,440,1,16,0,63,0,0,54000,2000,False,False,False,False,2,0,False,False,False,0,2,0,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
39,"Allagan tomestone of phantasmagoria",0,"Allagan tomestones of phantasmagoria",0,1,1,0,0,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on the fantastic gathered by the lost Allagan Empire.","Allagan Tomestone of Phantasmagoria",65067,460,1,16,0,63,0,0,54000,2000,False,False,False,False,2,0,False,False,False,0,2,0,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
40,"Allagan tomestone of allegory",0,"Allagan tomestones of allegory",0,1,1,0,0,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on allegories gathered by the lost Allagan Empire.","Allagan Tomestone of Allegory",65075,490,1,16,0,63,0,0,54000,2000,False,False,False,False,2,0,False,False,False,0,2,0,0,0,0,0,0,False,False,0,1,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
41,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,False,False,0,0,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
42,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,False,False,0,0,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
43,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,False,False,0,0,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
44,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,False,False,0,0,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
45,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,False,False,0,0,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
46,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,False,False,0,0,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
47,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,False,False,0,0,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
48,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,False,False,0,0,0,0,0,0,0,0,False,False,0,0,0,0,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,False
